City,valid_Date,Moonrise_Timestamp,Relative_Humidity,Average_Preasure,Sunset_Timestamp,Average_Ozone,Moon_Phase,Wind_Direction,Wind_Speed,Verbal_Wind_Direction,Wind_Gust_Speed,Snow_Depth,Clouds,Sunrise_Timestamp,Temperature,Maximum_Temperature,Minimum_Temperature,Minimum_Feels_Like_Temperature,Maximum_Feels_Like_Temperature,Probablity_of_Precipitation,Sea_Level_Preasure,Visiblity,Dew_Point,Accumalated_Snowfall,UX_Index,Wind_Direction,Solar_radiation,Cloud_High_Level,Equivalent_Precipitation,Weather_icon_Code,Weather_Code,Mooneset_Timestamp,Mid_cloud_coverage,Low_cloud_coverage,Weather_Description
Dublin,23-03-2019,1553373328,66,1029.91,1553366298,373.953,0.857119,SW,1.72383,southwest,7.43031,0,89,1553321765,6.8,9.7,4.1,0.2,9.7,0,1034.02,0,0.8,0,2.55117,228,None,86,0,c04d,804,1553328676,84,19,Overcast clouds
Dublin,24-03-2019,1553464582,70,1029.49,1553452803,368.087,0.771534,W,3.98555,west,16.9717,0,42,1553408024,7.1,10.8,3.5,-0.6,10.8,15,1033.47,0,1.7,0,3.33143,272,None,4,0.0410156,c03d,803,1553416744,0,38,Broken clouds
Dublin,25-03-2019,1553555643,75,1032.23,1553539309,323.365,0.676013,W,2.15362,west,8.85133,0,66,1553494283,8.3,11.1,5.2,1.6,11.1,15,1036.32,0,3.8,0,2.64744,274,None,6,0.046875,c03d,803,1553505099,1,64,Broken clouds
Dublin,26-03-2019,1553560030,72,1032.3,1553625814,316.511,0.57564,WSW,2.43432,west-southwest,10.2313,0,52,1553580541,9.2,12.9,6,2.6,12.9,0,1036.29,0,4.2,0,4.34475,257,None,7,0,c03d,803,1553593828,0,46,Broken clouds
Dublin,27-03-2019,1553650432,75,1032.74,1553712319,338.654,0.474643,W,2.80404,west,8.6506,0,80,1553666800,8.8,11.3,6.7,3.5,11.3,0,1036.72,0,4.6,0,1.92499,277,None,5,0,c04d,804,1553682985,0,80,Overcast clouds
Dublin,28-03-2019,1553740342,75,1021.56,1553798824,338.677,0.376492,S,2.78658,south,7.11691,0,72,1553753059,9.3,14.2,5.9,2.5,13.8,0,1034.3,24.1,5.1,0,2.56434,172,None,72,0,c04d,804,1553772560,0,0,Overcast clouds
Dublin,29-03-2019,1553829704,81,1015.25,1553885329,331.682,0.284164,S,4.25015,south,13.0012,0,29,1553839318,9.9,14.3,6,2.6,13.9,0,1027.93,24.1,6.6,0,4.03298,181,None,29,0,c02d,802,1553862482,0,0,Scattered clouds
Dublin,30-03-2019,1553918533,78,1004.95,1553971834,334.269,0.200416,S,5.28411,south,14.1151,0,15,1553925577,10.3,14.4,7.6,7.6,14,0,1017.37,24.1,6.4,0,4.93033,181,None,13,0,c02d,801,1553956243,0,2,Few clouds
Dublin,31-03-2019,1554006907,74,1002.52,1554058339,371.558,0.127976,WSW,4.30545,west-southwest,13.0132,0,89,1554011837,8.2,10.8,4.8,1.1,10.3,30,1015.05,19.8002,3.6,0,1.76512,257,None,76,2.375,c04d,804,1554042946,22,47,Overcast clouds
Dublin,01-04-2019,1554094929,72,1010.83,1554144845,404.175,0.0695981,W,3.18548,west,8.51747,0,10,1554098096,4.4,9.7,1.1,-3.6,9.6,0,1023.54,24.1,-0.5,0,4.93081,259,None,10,0,c02d,801,1554133324,0,0,Few clouds
Dublin,02-04-2019,1554182698,81,1024.2,1554231350,376.333,0.0279576,SW,5.56023,southwest,10.556,0,45,1554184356,8.6,10.8,5.9,3.7,10.3,15,1025.31,24.1,5.6,0,2.99732,216,None,19,0.1875,c03d,803,1554223749,0,32,Broken clouds
Dublin,03-04-2019,1554270301,84,1012.92,1554317855,381.164,0.00542622,S,6.00346,south,9.45939,0,84,1554270616,7.9,9.3,4.9,3.2,9.3,15,1013.75,19.9,5.3,0,2.31983,186,None,82,0.1875,c04d,804,1554314221,20,12,Overcast clouds
Dublin,04-04-2019,1554357809,73,1000.48,1554404360,408.015,0.00542622,WNW,6.48245,west-northwest,9.12354,0,88,1554356877,6.6,7.3,3.1,3.1,3.5,60,1001.42,13.35,1.9,0,2.46169,302,None,58,8.25,r04d,520,1554400621,84,72,Light shower rain
Dublin,05-04-2019,1554445286,70,1010.4,1554490865,486.249,0.0038101,WSW,3.63404,west-southwest,5.31263,0,42,1554443138,4.3,7.2,0.8,-1.9,2.8,40,1011.18,19.5001,-0.9,0,5.04251,248,None,0,3.625,c03d,803,1554491156,40,6,Broken clouds
Dublin,06-04-2019,1554532794,74,1005.85,1554577369,416.743,0.0241365,SSE,9.81597,south-southeast,18.8085,0,46,1554529399,5.4,7.1,3.5,-0.1,3.8,25,1006.87,14.1501,1.1,0,3.66202,164,None,20,1.5,c03d,803,1554581772,28,12,Broken clouds
Dublin,07-04-2019,1554620404,85,999.961,1554663874,453.795,0.0665255,ESE,14.028,east-southeast,21.2479,0,100,1554615660,7,7.2,6.7,3.7,4,80,1000.41,2.35008,4.6,0,1.62304,106,None,99,19.1875,r02d,501,1554672473,100,94,Moderate rain
Cork,23-03-2019,1553373963,71,1026,1553366899,370.114,0.856572,SE,1.40811,southeast,6.06582,0,100,1553322364,6.7,9.2,4.3,0.5,9.2,15,1034.34,0,1.7,0,1.88296,127,None,97,0.00390625,c04d,804,1553329287,94,15,Overcast clouds
Cork,24-03-2019,1553465215,75,1027.4,1553453404,362.133,0.770899,NW,2.36024,northwest,10.1136,0,28,1553408623,6,11.2,1.3,-3.3,11.2,0,1035.77,0,1.7,0,4.12238,305,None,17,0,c02d,802,1553417356,0,13,Scattered clouds
Cork,25-03-2019,1553556275,81,1028.97,1553539909,327.681,0.675327,SW,1.34833,southwest,4.00122,0,49,1553494882,7.2,11.6,3.2,-0.9,11.6,0,1037.32,0,4,0,4.1754,233,None,14,0,c03d,803,1553505714,1,34,Broken clouds
Cork,26-03-2019,1553560659,84,1028.9,1553626415,314.244,0.574936,WSW,1.95405,west-southwest,8.16216,0,41,1553581140,7.4,12,2.7,-1.6,12,0,1037.28,0,4.8,0,3.20792,254,None,0,0,c03d,803,1553594446,0,41,Broken clouds
Cork,27-03-2019,1553651058,84,1028.86,1553712920,330.21,0.473948,W,1.57221,west,5.08908,0,23,1553667399,8.1,13.4,3.1,-1.1,13.4,0,1037.22,0,5.5,0,4.88591,262,None,0,0,c02d,802,1553683606,0,23,Scattered clouds
Cork,28-03-2019,1553740965,86,1018.79,1553799425,335.665,0.375827,SE,3.7375,southeast,9.8157,0,33,1553753658,8.5,13,4.3,0.4,12.7,0,1032.82,24.1,6.1,0,4.08126,130,None,33,0,c02d,802,1553773184,0,0,Scattered clouds
Cork,29-03-2019,1553830322,89,1012.61,1553885930,336.932,0.283549,SSE,4.17046,south-southeast,10.3012,0,41,1553839917,9.4,13.8,6.3,3.2,13.7,15,1026.38,22.3875,7.6,0,2.6609,156,None,20,0.0625,c03d,803,1553863107,0,22,Broken clouds
Cork,30-03-2019,1553919148,94,1002.34,1553972435,342.557,0.19987,S,4.64534,south,11.2151,0,90,1553926176,9.5,11.8,7.9,8,11.8,25,1015.91,23.125,8.6,0,1.59204,172,None,7,1.8125,c04d,804,1553956870,0,90,Overcast clouds
Cork,31-03-2019,1554007520,80,1002.78,1554058940,380.458,0.127519,WNW,3.17685,west-northwest,8.90827,0,74,1554012436,6.8,10.4,2,-2.2,10.1,25,1016.99,23.9252,3.3,0,2.29829,287,None,56,1.5625,c04d,804,1554043573,20,53,Overcast clouds
Cork,01-04-2019,1554095539,80,1010.93,1554145445,408.155,0.0692483,W,2.31066,west,4.80025,0,4,1554098695,3.6,10.2,0.1,-4.8,9.3,15,1025.3,24.1,0.3,0,4.61092,265,None,0,0.0625,c02d,801,1554133952,0,4,Few clouds
Cork,02-04-2019,1554183307,85,1012.88,1554231950,373.183,0.0277328,SW,3.8087,southwest,5.91218,0,31,1554184955,7.6,11.6,4,0,11.2,15,1026.06,24,5,0,4.1931,214,None,12,0.1875,c02d,802,1554224377,0,22,Scattered clouds
Cork,03-04-2019,1554270909,85,1000.51,1554318455,382.214,0.0277328,S,4.94727,south,9.326,0,80,1554271215,6.9,9.5,3.5,0.4,9.5,15,1013.19,23.5,4.5,0,2.49598,190,None,78,0.1875,c04d,804,1554310777,36,6,Overcast clouds
Cork,04-04-2019,1554358416,77,991.818,1554404960,424.715,0.00534121,NW,5.79984,northwest,13.1235,0,74,1554357476,5,6.6,0.2,-0.6,3.3,40,1004.68,12,1,0,3.35851,305,None,29,3.25,c04d,804,1554401250,53,42,Overcast clouds
Cork,05-04-2019,1554445893,80,999.07,1554491465,468.949,0.00387491,WSW,2.2103,west-southwest,3.41292,39,68,1554443737,2.9,7.1,-1.1,-5.7,3,70,1012.13,4.90009,-0.4,39,3.6424,249,None,0,4.0625,s01d,600,1554491785,68,0,Light snow
Cork,06-04-2019,1554533402,85,987.792,1554577970,418.293,0.0243552,SSE,9.81506,south-southeast,23.5085,24.4,54,1554529998,3.9,6,1.9,-2.6,2.6,75,1000.67,12.7001,1.6,0,2.82963,153,None,42,11.875,r01d,500,1554582401,38,30,Light rain
Cork,07-04-2019,1554621013,89,979.849,1554664475,484.195,0.0668956,E,9.65359,east,16.4,0,78,1554616259,7.4,8.5,6.3,3,8.5,75,991.94,6.25008,5.7,0,2.51947,99,None,43,13.75,r01d,500,1554673103,61,48,Light rain
Galway,23-03-2019,1553374597,70,1034.13,1553367499,386.693,0.856024,W,2.16447,west,6.00206,0,82,1553322963,7.3,8.6,5.9,2.4,8.6,0,1034.33,0,2.1,0,2.27411,262,None,54,0,c04d,804,1553329898,67,11,Overcast clouds
Galway,24-03-2019,1553465848,71,1034.63,1553454005,358.153,0.770263,W,4.39103,west,11.6319,0,58,1553409222,8.5,11.2,6.6,3.3,11.2,15,1034.82,0,3.4,0,3.67774,277,None,21,0.0078125,c03d,803,1553417969,0,46,Broken clouds
Galway,25-03-2019,1553556906,80,1036.74,1553540510,320.577,0.674641,WSW,1.67798,west-southwest,5.5985,0,37,1553495481,8.5,10.3,6.6,3.4,10.3,0,1036.93,0,5,0,3.37883,254,None,0,0,c02d,802,1553506328,1,36,Scattered clouds
Galway,26-03-2019,1553561289,81,1036.2,1553627015,317.144,0.574232,SW,4.11914,southwest,11.8272,0,71,1553581739,8.8,10.3,7.6,7.6,10.3,15,1036.44,0,5.7,0,2.83885,225,None,0,0.0234375,c04d,804,1553595063,0,71,Overcast clouds
Galway,27-03-2019,1553651685,81,1036.48,1553713521,338.847,0.473253,WSW,4.24086,west-southwest,9.03023,0,94,1553667998,9.3,9.9,8.9,8.9,9.9,15,1036.7,0,6.2,0,2.713,242,None,14,0.320312,c04d,804,1553684226,2,89,Overcast clouds
Galway,28-03-2019,1553741587,76,1027.3,1553800026,337.327,0.375163,SSE,4.45951,south-southeast,10.5157,0,33,1553754257,9.6,14.1,5.7,2.5,14,0,1031.95,24.1,5.6,0,3.3126,158,None,33,0,c02d,802,1553773807,0,0,Scattered clouds
Galway,29-03-2019,1553830941,83,1020.05,1553886531,328.844,0.282936,SSE,5.89616,south-southeast,13.3012,0,36,1553840516,10.2,14.4,6.8,3.8,14.4,0,1024.86,22.85,7.2,0,2.50632,168,None,36,0,c02d,802,1553863733,0,0,Scattered clouds
Galway,30-03-2019,1553919763,87,1008.89,1553973036,333.707,0.199326,S,6.67561,south,14.0151,0,51,1553926775,10.2,12.5,8.3,8.5,12.1,35,1013.76,22.6375,8.2,0,3.7999,172,None,10,2.625,c03d,803,1553957497,6,40,Broken clouds
Galway,31-03-2019,1554008132,70,1010.9,1554059541,385.883,0.127062,W,6.17419,west,10.5132,0,42,1554013035,7.7,9.1,6.6,3.4,9,40,1015.53,21.3002,2.4,0,3.45095,268,None,18,3.25,c03d,803,1554044201,20,24,Broken clouds
Galway,01-04-2019,1554096150,67,1018.55,1554146046,400.215,0.0688992,WSW,5.30535,west-southwest,9.30649,0,20,1554099294,7.5,9.5,6,2.9,9.2,15,1023.52,24.1,1.7,0,3.96072,255,None,0,0.25,c02d,801,1554134580,0,20,Few clouds
Galway,02-04-2019,1554183916,85,1018.61,1554232551,378.233,0.0275089,SW,6.14008,southwest,9.55602,0,84,1554185554,9.6,10.6,8.4,8.9,10.3,20,1023.75,24.1,7.2,0,1.60089,224,None,38,1.3125,c04d,804,1554225006,18,75,Overcast clouds
Galway,03-04-2019,1554271517,85,1005.88,1554319056,387.064,0.0275089,S,8.06916,south,12.5594,0,92,1554271814,8,8.1,8,8,8.1,35,1010.83,14.8,5.7,0,1.79072,182,None,80,2.9375,c04d,804,1554311406,68,66,Overcast clouds
Galway,04-04-2019,1554359024,69,999.327,1554405561,431.265,0.0052572,NW,6.42877,northwest,11.0235,0,91,1554358075,5.5,6.3,3.8,1.6,2.4,60,1004.56,4.95,0.2,0,1.74208,309,None,22,8.25,r04d,520,1554401878,54,67,Light shower rain
Galway,05-04-2019,1554446501,65,1005.39,1554492066,464.699,0.00394079,WSW,5.0256,west-southwest,7.21292,0,56,1554444336,5.3,7,3,0.1,3.3,40,1010.71,10.6501,-0.8,0,3.88461,239,None,0,3.3125,c03d,803,1554492414,55,1,Broken clouds
Galway,06-04-2019,1554534010,78,994.789,1554578571,420.593,0.024575,SE,12.7208,southeast,25.3085,0,52,1554530597,5.3,6.8,3.1,-0.2,3.6,55,999.887,13.0501,1.7,0,2.65584,141,None,46,6.0625,r04d,520,1554583031,36,26,Light shower rain
Galway,07-04-2019,1554621622,85,991.686,1554665076,487.045,0.0672667,E,12.7908,east,17.2,0,92,1554616858,7.8,8.1,7.5,7.5,8.1,45,996.93,19.5001,5.4,0,2.00886,79,None,50,3.875,c04d,804,1554673733,57,78,Overcast clouds
Limerick,23-03-2019,1553373963,70,1028.39,1553366899,379.24,0.856572,SSW,0.85317,south-southwest,3.58461,0,87,1553322364,6.4,9.3,3.1,-1,9.3,0,1034.49,0,1.2,0,1.82649,198,None,80,0,c04d,804,1553329287,78,18,Overcast clouds
Limerick,24-03-2019,1553465215,78,1029.24,1553453404,359.953,0.770899,W,3.02108,west,11.5179,0,64,1553408623,6.1,10.3,1.6,-2.9,10.3,15,1035.44,0,2.2,0,2.56558,266,None,40,0.0117188,c03d,803,1553417356,3,35,Broken clouds
Limerick,25-03-2019,1553556275,80,1031.01,1553539909,324.081,0.675327,SSW,0.936754,south-southwest,4.54577,0,68,1553494882,7.6,10.6,3.1,-1.1,10.6,15,1037.1,0,4.3,0,2.27235,207,None,17,0.00390625,c03d,803,1553505714,1,58,Broken clouds
Limerick,26-03-2019,1553560659,82,1030.63,1553626415,315.065,0.574936,SW,2.03412,southwest,6.78032,0,53,1553581140,7.9,12.6,3.3,-0.8,12.6,0,1036.84,0,4.8,0,2.74305,216,None,0,0,c03d,803,1553594446,0,53,Broken clouds
Limerick,27-03-2019,1553651058,80,1030.87,1553712920,335.347,0.473948,WSW,1.96733,west-southwest,5.86644,0,63,1553667399,8.9,12.3,5.8,2.3,12.3,0,1037.09,0,5.7,0,3.29066,241,None,13,0,c03d,803,1553683606,0,55,Broken clouds
Limerick,28-03-2019,1553740965,83,1019.9,1553799425,336.69,0.375827,SE,3.23077,southeast,8.27164,0,33,1553753658,8.3,14.8,3.1,-1,14.6,0,1032.75,24.1,5.3,0,3.52387,141,None,33,0,c02d,802,1553773184,0,0,Scattered clouds
Limerick,29-03-2019,1553830322,88,1013.28,1553885930,332.282,0.283549,SSE,4.45787,south-southeast,12.4012,0,38,1553839917,9,15.1,4.8,1.1,14.8,15,1026.02,23.6625,7,0,2.10996,158,None,27,0.0625,c02d,802,1553863107,0,17,Scattered clouds
Limerick,30-03-2019,1553919148,90,1002.56,1553972435,336.932,0.19987,SSE,5.69919,south-southeast,13.5151,0,61,1553926176,9.9,13.3,7.3,7.2,13.3,10,1015.16,23.6875,8.2,0,4.54614,166,None,8,0.5,c03d,803,1553956870,0,59,Broken clouds
Limerick,31-03-2019,1554007520,82,1003.55,1554058940,381.42,0.127519,W,4.16998,west,11.0132,0,59,1554012436,6.3,9.7,2.2,-2.1,9.4,35,1016.05,23.1502,3.2,0,2.60478,262,None,34,2.625,c03d,803,1554043573,18,40,Broken clouds
Limerick,01-04-2019,1554095539,84,1011.46,1554145445,404.055,0.0692483,SW,2.93445,southwest,6.60649,0,2,1554098695,3.6,10.6,0.2,-4.8,9.6,15,1024.4,24.1,0.9,0,4.68346,228,None,0,0.1875,c02d,801,1554133952,0,2,Few clouds
Limerick,02-04-2019,1554183307,86,1013.05,1554231950,373.983,0.0277328,SSW,4.04858,south-southwest,9.15602,0,58,1554184955,8.7,11.1,5.5,2.8,11.2,10,1024.94,24.1,6.4,0,2.15415,211,None,26,0.5625,c03d,803,1554224377,2,50,Broken clouds
